,GNomexID,run,number,plate,well,sample_type,samp_date,sac_day,day,infection_status,mouse,cage,ear,sex,treatment,microb,DOB,moved_to_SB,moved_from_bubble,age,location,out_of_bubble,PlatePosition,breeding,sample_group,description,LanePosition,RawReads1st,RerunReads,lane,Nanostring_sample,metabolomics_sample,Observed,sum,Shannon,PD,SR,row,cage_day
2_RLP_D1,19266X20,19266,20,1,92,sample,5/1/21,D14,D1,infected,2_RLP,2,RLP,M,worm,LO,1/9/21,4/16/21,2/10/21,112,SouthBio,80,H8,NA,exp,NA,20,19959,NA,Original_Lane1,NA,NA,25,9884,2.037744092,3.56994762,25,2_RLP_D1,2D1
2_RLP_D10,19266X88,19266,88,2,30,sample,5/10/21,D14,D10,infected,2_RLP,2,RLP,M,worm,LO,1/9/21,3/23/21,2/10/21,121,SouthBio,89,F4,NA,exp,NA,88,46264,NA,Original_Lane1,NA,NA,77,15769,2.431608957,6.643575377,77,2_RLP_D10,2D10
2_RLP_D14,19266X60,19266,60,2,91,sample,5/14/21,D14,D14,infected,2_RLP,2,RLP,M,worm,LO,1/9/21,3/23/21,2/10/21,125,SouthBio,93,C12,NA,exp,NA,60,26188,NA,Original_Lane1,NA,3,70,11519,2.084291244,5.88651888,70,2_RLP_D14,2D14
2_RLP_pre,19267X25,19267,25,1,25,sample,4/24/21,D14,D-5,pretreat,2_RLP,2,RLP,M,worm,LO,1/9/21,4/16/21,2/10/21,105,SouthBio,73,C1,NA,exp,NA,25,34402,NA,Original_Lane2,NA,NA,19,18191,1.903432028,2.747492697,19,2_RLP_pre,2D-5
20_LP_D1,19266X111,19266,111,2,24,sample,5/1/21,D41,D1,infected,20_LP,20,LP,M,control,HI,12/29/20,4/16/21,4/10/21,123,SouthBio,21,H3,NA,exp,NA,111,59407,NA,Original_Lane1,NA,NA,205,26630,3.348702177,12.34334655,205,20_LP_D1,20D1
20_LP_D10,19266X83,19266,83,2,85,sample,5/10/21,D41,D10,infected,20_LP,20,LP,M,control,HI,12/29/20,4/16/21,4/10/21,132,SouthBio,30,E11,NA,exp,NA,83,117467,NA,Original_Lane1,NA,NA,332,26880,4.354495133,14.74172223,332,20_LP_D10,20D10
20_LP_D14,19266X151,19266,151,3,51,sample,5/15/21,D41,D14,infected,20_LP,20,LP,M,control,HI,12/29/20,4/16/21,4/10/21,137,SouthBio,35,C7,NA,exp,NA,151,6292,14652,Rerun,NA,NA,205,3693,4.010972411,11.62935386,205,20_LP_D14,20D14
20_LP_D28,19266X216,19266,216,3,96,sample,5/28/21,D41,D28,cleared,20_LP,20,LP,M,control,HI,12/29/20,4/16/21,4/10/21,150,SouthBio,48,H12,NA,exp,NA,216,9123,NA,Original_Lane1,NA,NA,151,2866,3.74858256,10.25042477,151,20_LP_D28,20D28
20_LP_D41,19267X161,19267,161,4,64,sample,6/10/21,D41,D41,cleared,20_LP,20,LP,M,control,HI,12/29/20,4/16/21,4/10/21,163,SouthBio,61,H8,NA,exp,NA,161,3781,37809,Rerun,NA,39,206,11373,3.592780685,12.34695468,206,20_LP_D41,20D41
20_LP_pre,19267X20,19267,20,1,20,sample,4/24/21,D41,D-5,pretreat,20_LP,20,LP,M,control,HI,12/29/20,4/16/21,4/10/21,116,SouthBio,14,B8,NA,exp,NA,20,54934,NA,Original_Lane2,NA,NA,280,26109,3.567499175,13.83015371,280,20_LP_pre,20D-5
20_RP_D1,19266X28,19266,28,2,25,sample,5/1/21,D41,D1,infected,20_RP,20,RP,M,control,HI,12/29/20,4/16/21,4/10/21,123,SouthBio,21,A4,NA,exp,NA,28,55982,NA,Original_Lane1,NA,NA,233,20162,3.480882903,13.17896818,233,20_RP_D1,20D1
20_RP_D10,19266X95,19266,95,2,86,sample,5/10/21,D41,D10,infected,20_RP,20,RP,M,control,HI,12/29/20,4/16/21,4/10/21,132,SouthBio,30,F11,NA,exp,NA,95,89898,NA,Original_Lane1,NA,NA,282,24787,3.926864214,13.57615019,282,20_RP_D10,20D10
20_RP_D14,19266X163,19266,163,3,52,sample,5/15/21,D41,D14,infected,20_RP,20,RP,M,control,HI,12/29/20,4/16/21,4/10/21,137,SouthBio,35,D7,NA,exp,NA,163,10662,NA,Original_Lane1,NA,NA,157,3416,3.782961727,10.32086774,157,20_RP_D14,20D14
20_RP_D28,19267X73,19267,73,4,1,sample,5/28/21,D41,D28,cleared,20_RP,20,RP,M,control,HI,12/29/20,4/16/21,4/10/21,150,SouthBio,48,A1,NA,exp,NA,73,5026,NA,Original_Lane2,NA,NA,86,2238,3.14435059,7.650863599,86,20_RP_D28,20D28
20_RP_D31,19267X123,19267,123,4,21,sample,5/31/21,D41,D31,cleared,20_RP,20,RP,M,control,HI,12/29/20,4/16/21,4/10/21,153,SouthBio,51,E3,NA,exp,NA,123,8953,NA,Original_Lane2,NA,NA,216,3350,4.231791488,12.2141059,216,20_RP_D31,20D31
20_RP_D41,19267X81,19267,81,4,65,sample,6/10/21,D41,D41,cleared,20_RP,20,RP,M,control,HI,12/29/20,4/16/21,4/10/21,163,SouthBio,61,A9,NA,exp,NA,81,8997,34679,Rerun,NA,40,165,9941,3.079593962,11.62182133,165,20_RP_D41,20D41
20_RP_pre,19267X32,19267,32,1,32,sample,4/24/21,D41,D-5,pretreat,20_RP,20,RP,M,control,HI,12/29/20,4/16/21,4/10/21,116,SouthBio,14,C8,NA,exp,NA,32,71280,NA,Original_Lane2,NA,NA,332,32936,4.086729843,15.59306511,332,20_RP_pre,20D-5
21_LP_D1,19266X40,19266,40,2,26,sample,5/1/21,D41,D1,infected,21_LP,21,LP,F,control,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,B4,NA,exp,NA,40,88178,NA,Original_Lane1,NA,NA,281,33410,3.571358262,13.87179977,281,21_LP_D1,21D1
21_LP_D10,19266X107,19266,107,2,87,sample,5/10/21,D41,D10,infected,21_LP,21,LP,F,control,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,G11,NA,exp,NA,107,146935,NA,Original_Lane1,NA,NA,365,46965,4.438139198,15.7961996,365,21_LP_D10,21D10
21_LP_D14,19266X175,19266,175,3,53,sample,5/15/21,D41,D14,infected,21_LP,21,LP,F,control,HI,1/25/21,4/16/21,4/10/21,110,SouthBio,35,E7,NA,exp,NA,175,8517,43360,Rerun,NA,NA,276,16372,3.569634812,13.6881991,276,21_LP_D14,21D14
21_LP_D28,19267X85,19267,85,4,2,sample,5/28/21,D41,D28,cleared,21_LP,21,LP,F,control,HI,1/25/21,4/16/21,4/10/21,123,SouthBio,48,B1,NA,exp,NA,85,6761,NA,Original_Lane2,NA,NA,117,2409,3.480276501,8.45924379,117,21_LP_D28,21D28
21_LP_D31,19267X134,19267,134,4,22,sample,5/31/21,D41,D31,cleared,21_LP,21,LP,F,control,HI,1/25/21,4/16/21,4/10/21,126,SouthBio,51,F3,NA,exp,NA,134,5397,NA,Original_Lane2,NA,NA,105,1821,3.364831089,7.937680552,105,21_LP_D31,21D31
21_LP_D41,19267X93,19267,93,4,66,sample,6/10/21,D41,D41,cleared,21_LP,21,LP,F,control,HI,1/25/21,4/16/21,4/10/21,136,SouthBio,61,B9,NA,exp,NA,93,11414,NA,Original_Lane2,NA,41,82,3661,3.348525496,7.504980393,82,21_LP_D41,21D41
21_LP_pre,19267X44,19267,44,1,44,sample,4/24/21,D41,D-5,pretreat,21_LP,21,LP,F,control,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,D8,NA,exp,NA,44,86210,NA,Original_Lane2,NA,NA,291,40579,3.828584353,14.65065303,291,21_LP_pre,21D-5
21_RP_D1,19266X52,19266,52,2,27,sample,5/1/21,D41,D1,infected,21_RP,21,RP,F,control,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,C4,NA,exp,NA,52,64608,NA,Original_Lane1,NA,NA,318,21041,4.068998556,14.79229028,318,21_RP_D1,21D1
21_RP_D10,19266X119,19266,119,2,88,sample,5/10/21,D41,D10,infected,21_RP,21,RP,F,control,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,H11,NA,exp,NA,119,96215,NA,Original_Lane1,NA,NA,329,20553,4.484345961,14.13585724,329,21_RP_D10,21D10
21_RP_D14,19266X187,19266,187,3,54,sample,5/15/21,D41,D14,infected,21_RP,21,RP,F,control,HI,1/25/21,4/16/21,4/10/21,110,SouthBio,35,F7,NA,exp,NA,187,4179,26509,Rerun,NA,NA,307,10440,4.410235551,13.48966894,307,21_RP_D14,21D14
21_RP_D28,19267X97,19267,97,4,3,sample,5/28/21,D41,D28,cleared,21_RP,21,RP,F,control,HI,1/25/21,4/16/21,4/10/21,123,SouthBio,48,C1,NA,exp,NA,97,4213,44550,Rerun,NA,NA,276,18086,3.755568696,13.46452147,276,21_RP_D28,21D28
21_RP_D41,19267X105,19267,105,4,67,sample,6/10/21,D41,D41,cleared,21_RP,21,RP,F,control,HI,1/25/21,4/16/21,4/10/21,136,SouthBio,61,C9,NA,exp,NA,105,7315,10767,Rerun,NA,42,153,4245,3.512398065,10.26460741,153,21_RP_D41,21D41
21_RP_pre,19267X56,19267,56,1,56,sample,4/24/21,D41,D-5,pretreat,21_RP,21,RP,F,control,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,E8,NA,exp,NA,56,113318,NA,Original_Lane2,NA,NA,302,55024,3.814793987,14.977493,302,21_RP_pre,21D-5
3_1,18684X173,18684,173,6,NA,breeder,NA,none,none,other,pretreat_bubble,a1_Female,NA,F,pretreat_bubble,M13.H8.B2.K11,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t1,3Days_PostGavage1_Aerobes,173,NA,NA,Prerun,NA,NA,9,10094,0.191084365,2.028707535,9,3_1,a1_Femalenone
3_2,18684X174,18684,174,6,NA,breeder,NA,none,none,other,pretreat_bubble,a2_Female,NA,F,pretreat_bubble,M13.H8.B2.K11,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t1,3Days_PostGavage1_Aerobes,174,NA,NA,Prerun,NA,NA,5,7103,0.134657061,1.303794598,5,3_2,a2_Femalenone
3_3,18684X175,18684,175,6,NA,breeder,NA,none,none,other,pretreat_bubble,a3_Male,NA,M,pretreat_bubble,M13.H8.B2.K11,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t1,3Days_PostGavage1_Aerobes,175,NA,NA,Prerun,NA,NA,12,22318,0.130768372,2.391680975,12,3_3,a3_Malenone
3_RLP_D1,19267X9,19267,9,1,9,sample,5/1/21,D41,D1,infected,3_RLP,3,RLP,F,worm,LO,1/3/21,3/23/21,2/10/21,118,SouthBio,80,A9,NA,exp,NA,9,110030,NA,Original_Lane2,NA,NA,39,59135,2.018200342,4.230573772,39,3_RLP_D1,3D1
3_RLP_D10,19266X100,19266,100,2,31,sample,5/10/21,D41,D10,infected,3_RLP,3,RLP,F,worm,LO,1/3/21,3/23/21,2/10/21,127,SouthBio,89,G4,NA,exp,NA,100,90115,NA,Original_Lane1,NA,NA,66,35710,2.339779754,6.110146472,66,3_RLP_D10,3D10
3_RLP_D14,19266X72,19266,72,2,92,sample,5/15/21,D41,D14,infected,3_RLP,3,RLP,F,worm,LO,1/3/21,3/23/21,2/10/21,132,SouthBio,94,D12,NA,exp,NA,72,38802,NA,Original_Lane1,NA,NA,68,17804,2.120221264,5.888857162,68,3_RLP_D14,3D14
3_RLP_D28,19266X199,19266,199,3,55,sample,5/28/21,D41,D28,cleared,3_RLP,3,RLP,F,worm,LO,1/3/21,3/23/21,2/10/21,145,SouthBio,107,G7,NA,exp,NA,199,4201,35241,Rerun,NA,NA,68,17652,2.124025117,5.316772747,68,3_RLP_D28,3D28
3_RLP_D31,19267X109,19267,109,4,4,sample,5/31/21,D41,D31,cleared,3_RLP,3,RLP,F,worm,LO,1/3/21,3/23/21,2/10/21,148,SouthBio,110,D1,NA,exp,NA,109,6162,NA,Original_Lane2,NA,NA,43,3225,2.121605633,4.491133707,43,3_RLP_D31,3D31
3_RLP_D41,19267X145,19267,145,4,23,sample,6/10/21,D41,D41,cleared,3_RLP,3,RLP,F,worm,LO,1/3/21,3/23/21,2/10/21,158,SouthBio,120,G3,NA,exp,NA,145,5622,12274,Rerun,NA,NA,49,6029,2.043181633,4.763038822,49,3_RLP_D41,3D41
3_RLP_pre,19267X37,19267,37,1,37,sample,4/24/21,D41,D-5,pretreat,3_RLP,3,RLP,F,worm,LO,1/3/21,3/23/21,2/10/21,111,SouthBio,73,D1,NA,exp,NA,37,52761,NA,Original_Lane2,NA,NA,25,27694,2.049956571,2.9856387,25,3_RLP_pre,3D-5
3_RP_D1,19267X21,19267,21,1,21,sample,5/1/21,D41,D1,infected,3_RP,3,RP,F,worm,LO,1/3/21,3/23/21,2/10/21,118,SouthBio,80,B9,NA,exp,NA,21,33171,NA,Original_Lane2,NA,NA,38,18422,2.035234559,4.214549725,38,3_RP_D1,3D1
3_RP_D10,19266X112,19266,112,2,32,sample,5/10/21,D41,D10,infected,3_RP,3,RP,F,worm,LO,1/3/21,3/23/21,2/10/21,127,SouthBio,89,H4,NA,exp,NA,112,60442,NA,Original_Lane1,NA,NA,69,21584,2.212329115,6.363462979,69,3_RP_D10,3D10
3_RP_D14,19266X84,19266,84,2,93,sample,5/15/21,D41,D14,infected,3_RP,3,RP,F,worm,LO,1/3/21,3/23/21,2/10/21,132,SouthBio,94,E12,NA,exp,NA,84,39337,NA,Original_Lane1,NA,NA,60,11933,2.692823609,5.570191822,60,3_RP_D14,3D14
3_RP_D28,19266X211,19266,211,3,56,sample,5/28/21,D41,D28,cleared,3_RP,3,RP,F,worm,LO,1/3/21,3/23/21,2/10/21,145,SouthBio,107,H7,NA,exp,NA,211,2291,74100,Rerun,NA,NA,71,29806,2.077630804,5.81723449,71,3_RP_D28,3D28
3_RP_D41,19267X156,19267,156,4,24,sample,6/10/21,D41,D41,cleared,3_RP,3,RP,F,worm,LO,1/3/21,3/23/21,2/10/21,158,SouthBio,120,H3,NA,exp,NA,156,3072,54374,Rerun,NA,NA,79,24978,2.094794241,5.894878518,79,3_RP_D41,3D41
3_RP_pre,19267X49,19267,49,1,49,sample,4/24/21,D41,D-5,pretreat,3_RP,3,RP,F,worm,LO,1/3/21,3/23/21,2/10/21,111,SouthBio,73,E1,NA,exp,NA,49,69586,NA,Original_Lane2,NA,NA,26,37887,1.843258027,2.806106533,26,3_RP_pre,3D-5
4_LP20_D1,19267X33,19267,33,1,33,sample,5/1/21,D41,D1,infected,4_LP20,4,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,103,SouthBio,65,C9,NA,exp,NA,33,46242,NA,Original_Lane2,NA,NA,39,22551,2.036132836,3.969219375,39,4_LP20_D1,4D1
4_LP20_D10,19266X29,19266,29,2,33,sample,5/10/21,D41,D10,infected,4_LP20,4,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,112,SouthBio,74,A5,NA,exp,NA,29,38430,NA,Original_Lane1,NA,NA,91,17248,2.515333638,6.577095899,91,4_LP20_D10,4D10
4_LP20_D14,19266X96,19266,96,2,94,sample,5/15/21,D41,D14,infected,4_LP20,4,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,117,SouthBio,79,F12,NA,exp,NA,96,21479,NA,Original_Lane1,NA,NA,80,8861,2.650111002,6.322438561,80,4_LP20_D14,4D14
4_LP20_D28,19266X128,19266,128,3,57,sample,5/28/21,D41,D28,cleared,4_LP20,4,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,130,SouthBio,92,A8,NA,exp,NA,128,10161,NA,Original_Lane1,NA,NA,66,4344,2.23445662,5.896299877,66,4_LP20_D28,4D28
4_LP20_D41,19267X76,19267,76,4,25,sample,6/10/21,D41,D41,cleared,4_LP20,4,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,143,SouthBio,105,A4,NA,exp,NA,76,9220,NA,Original_Lane2,NA,17,57,4304,2.109947226,4.893255858,57,4_LP20_D41,4D41
4_LP20_pre,19267X61,19267,61,1,61,sample,4/24/21,D41,D-5,pretreat,4_LP20,4,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,96,SouthBio,58,F1,NA,exp,NA,61,66149,NA,Original_Lane2,NA,NA,26,33287,2.042020714,2.905600963,26,4_LP20_pre,4D-5
4_LP30_D1,19267X45,19267,45,1,45,sample,5/1/21,D41,D1,infected,4_LP30,4,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,103,SouthBio,65,D9,NA,exp,NA,45,92865,NA,Original_Lane2,NA,NA,37,48960,1.998510497,3.670392266,37,4_LP30_D1,4D1
4_LP30_D10,19266X41,19266,41,2,34,sample,5/10/21,D41,D10,infected,4_LP30,4,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,112,SouthBio,74,B5,NA,exp,NA,41,54068,NA,Original_Lane1,NA,NA,106,24188,3.295310249,7.5216932,106,4_LP30_D10,4D10
4_LP30_D14,19266X108,19266,108,2,95,sample,5/15/21,D41,D14,infected,4_LP30,4,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,117,SouthBio,79,G12,NA,exp,NA,108,48414,NA,Original_Lane1,NA,NA,95,18936,3.078378678,6.755085653,95,4_LP30_D14,4D14
4_LP30_D28,19266X140,19266,140,3,58,sample,5/28/21,D41,D28,cleared,4_LP30,4,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,130,SouthBio,92,B8,NA,exp,NA,140,19342,NA,Original_Lane1,NA,NA,81,7790,2.441042995,5.977025866,81,4_LP30_D28,4D28
4_LP30_D41,19267X88,19267,88,4,26,sample,6/10/21,D41,D41,cleared,4_LP30,4,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,143,SouthBio,105,B4,NA,exp,NA,88,10330,NA,Original_Lane2,NA,NA,55,4731,2.09072191,5.194355361,55,4_LP30_D41,4D41
4_LP30_pre,19266X1,19266,1,1,73,sample,4/24/21,D41,D-5,pretreat,4_LP30,4,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,96,SouthBio,58,G1,NA,exp,NA,1,105191,NA,Original_Lane1,NA,NA,28,50278,1.895507484,3.026864919,28,4_LP30_pre,4D-5
4_RP1_D1,19267X57,19267,57,1,57,sample,5/1/21,D14,D1,infected,4_RP1,4,RP1,F,worm,LO,1/18/21,3/23/21,2/25/21,103,SouthBio,65,E9,NA,exp,NA,57,122445,NA,Original_Lane2,NA,NA,39,66566,1.943513905,4.069267217,39,4_RP1_D1,4D1
4_RP1_D10,19266X53,19266,53,2,35,sample,5/10/21,D14,D10,infected,4_RP1,4,RP1,F,worm,LO,1/18/21,3/23/21,2/25/21,112,SouthBio,74,C5,NA,exp,NA,53,57049,NA,Original_Lane1,NA,NA,98,21610,3.245312035,7.252610088,98,4_RP1_D10,4D10
4_RP1_D14,19266X121,19266,121,3,1,sample,5/14/21,D14,D14,infected,4_RP1,4,RP1,F,worm,LO,1/18/21,3/23/21,2/25/21,116,SouthBio,78,A1,NA,exp,NA,121,5352,56575,Rerun,1,4,99,29363,3.260510133,6.965880745,99,4_RP1_D14,4D14
4_RP1_pre,19266X13,19266,13,1,85,sample,4/24/21,D14,D-5,pretreat,4_RP1,4,RP1,F,worm,LO,1/18/21,3/23/21,2/25/21,96,SouthBio,58,H1,NA,exp,NA,13,26111,NA,Original_Lane1,NA,NA,28,11503,1.896110894,3.029679935,28,4_RP1_pre,4D-5
4_RP2_D1,19267X69,19267,69,1,69,sample,5/1/21,D41,D1,infected,4_RP2,4,RP2,F,worm,LO,1/18/21,3/23/21,2/25/21,103,SouthBio,65,F9,NA,exp,NA,69,74735,NA,Original_Lane2,NA,NA,37,39106,2.210982741,3.907012028,37,4_RP2_D1,4D1
4_RP2_D10,19266X65,19266,65,2,36,sample,5/10/21,D41,D10,infected,4_RP2,4,RP2,F,worm,LO,1/18/21,3/23/21,2/25/21,112,SouthBio,74,D5,NA,exp,NA,65,71010,NA,Original_Lane1,NA,NA,102,29477,2.763564476,7.470640423,102,4_RP2_D10,4D10
4_RP2_D14,19266X133,19266,133,3,2,sample,5/15/21,D41,D14,infected,4_RP2,4,RP2,F,worm,LO,1/18/21,3/23/21,2/25/21,117,SouthBio,79,B1,NA,exp,NA,133,9725,NA,Original_Lane1,NA,NA,70,4183,2.242145711,5.88955199,70,4_RP2_D14,4D14
4_RP2_D28,19266X152,19266,152,3,59,sample,5/28/21,D41,D28,cleared,4_RP2,4,RP2,F,worm,LO,1/18/21,3/23/21,2/25/21,130,SouthBio,92,C8,NA,exp,NA,152,12692,NA,Original_Lane1,NA,NA,70,5280,2.263803519,5.898563158,70,4_RP2_D28,4D28
4_RP2_D31,19267X121,19267,121,4,5,sample,5/31/21,D41,D31,cleared,4_RP2,4,RP2,F,worm,LO,1/18/21,3/23/21,2/25/21,133,SouthBio,95,E1,NA,exp,NA,121,3540,9610,Rerun,NA,NA,58,4364,2.306282976,5.053894393,58,4_RP2_D31,4D31
4_RP2_D41,19267X100,19267,100,4,27,sample,6/10/21,D41,D41,cleared,4_RP2,4,RP2,F,worm,LO,1/18/21,3/23/21,2/25/21,143,SouthBio,105,C4,NA,exp,NA,100,11209,NA,Original_Lane2,NA,NA,64,5535,2.156833587,5.2825735,64,4_RP2_D41,4D41
4_RP2_pre,19267X2,19267,2,1,2,sample,4/24/21,D41,D-5,pretreat,4_RP2,4,RP2,F,worm,LO,1/18/21,3/23/21,2/25/21,96,SouthBio,58,A2,NA,exp,NA,2,117015,NA,Original_Lane2,NA,NA,33,58388,1.982397873,3.341962249,33,4_RP2_pre,4D-5
4_RP3_D1,19266X9,19266,9,1,81,sample,5/1/21,D41,D1,infected,4_RP3,4,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,103,SouthBio,65,G9,NA,exp,NA,9,142576,NA,Original_Lane1,NA,NA,40,67407,2.078439898,4.139760565,40,4_RP3_D1,4D1
4_RP3_D10,19266X77,19266,77,2,37,sample,5/10/21,D41,D10,infected,4_RP3,4,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,112,SouthBio,74,E5,NA,exp,NA,77,57294,NA,Original_Lane1,NA,NA,98,20774,2.904153972,6.706748267,98,4_RP3_D10,4D10
4_RP3_D14,19266X145,19266,145,3,3,sample,5/15/21,D41,D14,infected,4_RP3,4,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,117,SouthBio,79,C1,NA,exp,NA,145,9772,17351,Rerun,NA,NA,80,5947,3.161295409,6.072354449,80,4_RP3_D14,4D14
4_RP3_D28,19266X176,19266,176,3,61,sample,5/28/21,D41,D28,cleared,4_RP3,4,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,130,SouthBio,92,E8,NA,exp,NA,176,14004,NA,Original_Lane1,NA,NA,82,5048,3.282632697,5.466036522,82,4_RP3_D28,4D28
4_RP3_D41,19267X112,19267,112,4,28,sample,6/10/21,D41,D41,cleared,4_RP3,4,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,143,SouthBio,105,D4,NA,exp,NA,112,9035,47382,Rerun,2,18,94,23082,2.689677796,6.358580627,94,4_RP3_D41,4D41
4_RP3_pre,19267X14,19267,14,1,14,sample,4/24/21,D41,D-5,pretreat,4_RP3,4,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,96,SouthBio,58,B2,NA,exp,NA,14,77477,NA,Original_Lane2,NA,NA,33,40925,1.787017045,3.202285601,33,4_RP3_pre,4D-5
5_LP20_D1,19266X21,19266,21,1,93,sample,5/1/21,D41,D1,infected,5_LP20,5,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,103,SouthBio,65,H9,NA,exp,NA,21,27403,NA,Original_Lane1,NA,NA,33,11353,1.856204475,3.981173299,33,5_LP20_D1,5D1
5_LP20_D10,19266X89,19266,89,2,38,sample,5/10/21,D41,D10,infected,5_LP20,5,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,112,SouthBio,74,F5,NA,exp,NA,89,40081,NA,Original_Lane1,NA,NA,62,18621,1.499528501,5.004547715,62,5_LP20_D10,5D10
5_LP20_D14,19266X157,19266,157,3,4,sample,5/15/21,D41,D14,infected,5_LP20,5,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,117,SouthBio,79,D1,NA,exp,NA,157,12966,NA,Original_Lane1,NA,NA,59,5073,2.59816019,5.049518859,59,5_LP20_D14,5D14
5_LP20_D28,19266X188,19266,188,3,62,sample,5/28/21,D41,D28,cleared,5_LP20,5,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,130,SouthBio,92,F8,NA,exp,NA,188,11888,NA,Original_Lane1,NA,NA,67,4506,1.978328598,5.459644811,67,5_LP20_D28,5D28
5_LP20_D31,19267X132,19267,132,4,6,sample,5/31/21,D41,D31,cleared,5_LP20,5,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,133,SouthBio,95,F1,NA,exp,NA,132,3382,57739,Rerun,NA,NA,80,33263,2.774232863,5.878722381,80,5_LP20_D31,5D31
5_LP20_D41,19267X124,19267,124,4,29,sample,6/10/21,D41,D41,cleared,5_LP20,5,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,143,SouthBio,105,E4,NA,exp,NA,124,8923,NA,Original_Lane2,NA,NA,68,3798,2.714574886,5.48244865,68,5_LP20_D41,5D41
5_LP20_pre,19267X26,19267,26,1,26,sample,4/24/21,D41,D-5,pretreat,5_LP20,5,LP20,F,worm,LO,1/18/21,3/23/21,2/25/21,96,SouthBio,58,C2,NA,exp,NA,26,60371,NA,Original_Lane2,NA,NA,35,29485,1.97404324,4.116830184,35,5_LP20_pre,5D-5
5_LP30_D1,19267X10,19267,10,1,10,sample,5/1/21,D41,D1,infected,5_LP30,5,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,103,SouthBio,65,A10,NA,exp,NA,10,179177,NA,Original_Lane2,NA,NA,38,97519,1.852853556,4.146230773,38,5_LP30_D1,5D1
5_LP30_D10,19266X101,19266,101,2,39,sample,5/10/21,D41,D10,infected,5_LP30,5,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,112,SouthBio,74,G5,NA,exp,NA,101,66027,NA,Original_Lane1,NA,NA,68,29398,1.669311876,5.788377695,68,5_LP30_D10,5D10
5_LP30_D14,19266X169,19266,169,3,5,sample,5/15/21,D41,D14,infected,5_LP30,5,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,117,SouthBio,79,E1,NA,exp,NA,169,6117,32196,Rerun,NA,NA,62,18371,1.995511943,5.33200182,62,5_LP30_D14,5D14
5_LP30_D28,19266X200,19266,200,3,63,sample,5/28/21,D41,D28,cleared,5_LP30,5,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,130,SouthBio,92,G8,NA,exp,NA,200,5302,NA,Original_Lane1,NA,NA,48,2114,2.324951813,4.639462549,48,5_LP30_D28,5D28
5_LP30_D41,19267X135,19267,135,4,30,sample,6/10/21,D41,D41,cleared,5_LP30,5,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,143,SouthBio,105,F4,NA,exp,NA,135,4462,42367,Rerun,NA,NA,77,19407,2.820726931,5.638311499,77,5_LP30_D41,5D41
5_LP30_pre,19267X38,19267,38,1,38,sample,4/24/21,D41,D-5,pretreat,5_LP30,5,LP30,F,worm,LO,1/18/21,3/23/21,2/25/21,96,SouthBio,58,D2,NA,exp,NA,38,73601,NA,Original_Lane2,NA,NA,34,39591,1.827223052,4.011576274,34,5_LP30_pre,5D-5
5_RP3_D1,19267X22,19267,22,1,22,sample,5/1/21,D41,D1,infected,5_RP3,5,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,103,SouthBio,65,B10,NA,exp,NA,22,17612,NA,Original_Lane2,NA,NA,33,9876,2.451185553,3.984752617,33,5_RP3_D1,5D1
